0,1.6302706,43.570534,1.2109045,1.920691,
0,1.6302706,43.570534,1.2109045,1.920691,
0,8.508465,29.2187,5.055697,9.172654,
1,2.8604558,38.68702,1.8505034,3.2459602,
2,4.817844,34.15867,2.8283575,4.558681,
3,3.7208002,36.402996,2.292146,4.15023,
4,2.865098,38.672935,1.8167579,3.3042905,
5,3.3690543,37.265564,2.181975,3.609116,
6,3.8804781,36.038017,2.5602658,4.1539,
7,3.601128,36.68695,2.455757,3.9505644,
8,2.4483657,40.0382,1.672793,2.8074732,
9,2.5662313,39.62981,1.7303324,2.9880624,
10,2.9787834,38.334946,2.020812,3.3732631,
11,3.0370789,38.166603,2.0816257,3.4009953,
12,2.6360397,39.396687,1.847845,3.0121567,
13,2.1195378,41.2909,1.5085487,2.5048764,
14,2.2882626,40.625607,1.5515208,2.625676,
15,2.631617,39.41127,1.7568549,2.938586,
16,2.461511,39.991688,1.7711308,2.8124242,
17,2.2745137,40.67795,1.7212167,2.6325524,
18,2.2057033,40.944786,1.6017213,2.5354562,
19,2.1581964,41.133904,1.5055664,2.4984946,
20,2.163207,41.11376,1.5117887,2.5230203,
21,2.060788,41.535057,1.4886116,2.4125016,
22,2.2294798,40.851654,1.6281016,2.6034923,
23,2.2289348,40.853775,1.6272309,2.6020968,
24,2.048488,41.58706,1.4922786,2.39676,
25,1.8127166,42.649124,1.3123323,2.126571,
26,1.8627245,42.412754,1.3452017,2.184835,
27,2.0771298,41.466454,1.5083954,2.434451,
28,2.209523,40.929756,1.6200476,2.5900447,
29,2.0304961,41.663685,1.5184047,2.378521,
30,1.885214,42.30851,1.411901,2.1944022,
31,1.8324715,42.554985,1.343457,2.14082,
32,1.9215913,42.142506,1.377506,2.2573018,
33,2.0400317,41.622986,1.4517846,2.4032636,
34,1.9570996,41.983467,1.4185865,2.309214,
35,1.8674612,42.390694,1.3709698,2.1998181,
36,1.825326,42.588917,1.3308501,2.153688,
37,1.8229623,42.600174,1.3180189,2.1445312,
38,1.8079814,42.67185,1.3196862,2.119923,
39,1.8411984,42.513714,1.3639003,2.1494818,
40,1.9181907,42.15789,1.4281042,2.233611,
41,1.9243512,42.130043,1.4308711,2.2409153,
42,1.8323667,42.55548,1.3545859,2.1381502,
43,1.7297764,43.055923,1.2799677,2.0293038,
44,1.7153873,43.12848,1.2687454,2.0161886,
45,1.7364929,43.022266,1.2797866,2.045482,
46,1.7665671,42.873123,1.2983578,2.0806487,
47,1.7418851,42.99534,1.2808468,2.0499194,
48,1.697689,43.218567,1.2505512,1.9927533,
49,1.7234569,43.087715,1.2708085,2.020231,
50,1.802997,42.695827,1.3289173,2.1101067,
51,1.7777505,42.818306,1.3195168,2.085287,
52,1.7117431,43.146954,1.271796,2.0061808,
53,1.7337306,43.036095,1.2836777,2.0336714,
54,1.6602076,43.412476,1.2314992,1.9544146,
55,1.7541323,42.93448,1.3068913,2.0392258,
56,1.6982244,43.215824,1.2663084,1.9903601,
57,1.7011915,43.20066,1.2539384,1.9856356,
58,1.693559,43.239716,1.2460008,1.9809674,
59,1.6712745,43.354767,1.232445,1.9662858,
60,1.6769702,43.32522,1.2392569,1.9713833,
61,1.6883968,43.266235,1.251438,1.9796513,
62,1.6771723,43.324173,1.2462308,1.9737093,
63,1.6862173,43.277454,1.2427499,1.9685265,
64,1.6704947,43.35882,1.2343864,1.954859,
65,1.6614087,43.406197,1.2293634,1.956625,
66,1.657749,43.42535,1.2282449,1.9513019,
67,1.698952,43.212105,1.2490888,1.9866298,
68,1.7412568,42.99847,1.2708337,2.0265768,
69,1.6515298,43.458,1.2222903,1.9446871,
70,1.7163559,43.12358,1.2483752,1.9665868,
71,1.702316,43.194923,1.2486925,1.9714569,
72,1.6879033,43.268776,1.256401,1.9764606,
73,1.727201,43.068867,1.2919432,2.0045636,
74,1.7556679,42.92688,1.2993624,2.0375538,
75,1.7300171,43.054718,1.2664936,2.0312512,
76,1.6848935,43.28428,1.235768,1.9665117,
77,1.7541014,42.93463,1.2675662,2.0125988,
78,1.6976029,43.219,1.2562618,1.9761696,
79,1.743991,42.98484,1.305445,2.0273004,
80,1.7214288,43.097946,1.2844156,2.0033937,
81,1.6448032,43.493446,1.2232449,1.9319658,
82,1.6810747,43.303986,1.2410643,1.975783,
83,1.6590343,43.418617,1.2232491,1.9513195,
84,1.6544553,43.442627,1.2214705,1.9438688,
85,1.6719271,43.35138,1.2380196,1.9597093,
86,1.6518466,43.45633,1.219967,1.9465523,
87,1.6829613,43.294243,1.2419493,1.9806801,
88,1.6446279,43.494373,1.2163464,1.940553,
89,1.6700994,43.36088,1.2349273,1.964328,
90,1.6989416,43.21216,1.2590957,1.9975327,
91,1.6691018,43.36607,1.2399971,1.9577793,
92,1.6815861,43.301346,1.2441709,1.9554023,
93,1.665559,43.38452,1.2361225,1.9473716,
94,1.6569865,43.429344,1.2338169,1.9506037,
95,1.7163107,43.12381,1.2791524,2.008776,
96,1.677268,43.323677,1.2501915,1.9667969,
97,1.6687208,43.368053,1.2319777,1.9448408,
98,1.6578393,43.424877,1.2253827,1.9402577,
99,1.6454939,43.4898,1.2198615,1.938882,
100,1.6549562,43.439995,1.2252023,1.9519321,
101,1.6356146,43.542107,1.2196487,1.9250199,
102,1.6506982,43.46237,1.2243811,1.9379854,
